Dates,ret_100pct_60_40,ret_static_mv,ret_dynamic_mv,nav_100pct_60_40,nav_static_mv,nav_dynamic_mv,w_T_tan,w_T_mv
2002-12-05,-0.0059635982191422,-0.004082169058864317,-0.005627186250149409,91765181.3877716,97320152.32817675,92782676.77293263,0.1,0.1
2002-12-06,0.0043002774724137,0.0044823335977040805,0.00433283031089904,92159797.13004538,97756373.71669102,93184688.36718075,0.1,0.1
2002-12-09,-0.0121488222719271,-0.006607929744179979,-0.011158074065940151,91040164.13409561,97110406.46712531,92144926.7125682,0.1,0.1
2002-12-10,0.0087166692549632,0.001391023483692565,0.0074067953728698295,91833731.13377006,97245489.32303199,92827425.32937628,0.1,0.1
2002-12-11,0.0017797489914083,0.0025335533594759365,0.00191453419462028,91997172.12413265,97491865.95920025,93005146.60936792,0.1,0.1
2002-12-12,-0.0022366257042393,0.0020576294465564473,-0.0014687845007877402,91791408.88424249,97692468.09339762,92868542.0915346,0.1,0.1
2002-12-13,-0.0094059437035849,0.00017704445681018463,-0.00769244208261664,90928024.05980456,97709764.00334565,92154156.21019842,0.1,0.1
2002-12-16,0.012751449552594,0.01427620299551953,0.01302408554590844,92087488.1715202,99104688.42890172,93354379.82409106,0.1,0.1
2002-12-17,-0.004462137691239,-0.002496070831021678,-0.00411059194209185,91676581.11965853,98857316.10689685,92970638.06262718,0.1,0.1
2002-12-18,-0.0064079029080617,0.002304527184388243,-0.00485006282351649,91089126.48890072,99085135.47924086,92519724.62728103,0.1,0.1
2002-12-19,-0.0024713026940143,0.0021784065925867205,-0.00163990394173894,90864017.68521328,99300983.19159618,92368001.16617614,0.1,0.1
2002-12-20,0.0078878482144274,0.0011549963976848622,0.00668396980942144,91580739.26486729,99415675.46946904,92985386.09732746,0.1,0.1
2002-12-23,0.0008548112969514,0.0026153307523279394,0.00116960381156612,91659023.51537405,99675680.3427878,93094142.15932684,0.1,0.1
2002-12-24,-0.0020947359259893,0.0006271421381056196,-0.00160804613812335,91467022.0658753,99738191.16207512,92944442.48354562,0.1,0.1
2002-12-25,0.0,-0.001089317050901219,-0.00019477708844322001,91467022.0658753,99629544.64981623,92926339.0356517,0.1,0.1
2002-12-26,-0.001474141411327,-0.001058814605567714,-0.0013998782333924501,91332186.74087724,99524055.43279494,92796253.47632684,0.1,0.1
2002-12-27,-0.0073146237818788,-0.002875077895639574,-0.0065208036346440295,90664126.15569143,99237916.02093571,92191147.32937706,0.1,0.1
2002-12-30,0.003438555141306,-0.0030929946884421557,0.0022706708620618306,90975879.7528161,98930973.67379089,92400483.08135793,0.1,0.1
2002-12-31,-0.0002964647062585,0.00043694762592338997,-0.00016532573384219997,90948908.61534856,98974201.32786794,92385206.90368514,0.1,0.1
2003-01-01,0.0,0.0,0.0,90948908.61534856,98974201.32786794,92385206.90368514,0.1,0.1
2003-01-02,0.0155552956680372,0.010432592901911631,0.01463932255541542,92363645.7795456,100006758.8781134,93737663.74689697,0.1,0.1
2003-01-03,-0.0002729960297966,0.008767903479134012,0.0013435765574041202,92338430.87095025,100883608.48721774,93863607.47445314,0.1,0.1
2003-01-06,0.0130248291451885,0.007996533362520425,0.012125736625183299,93541123.15657917,101690327.62821724,95001772.85737793,0.1,0.1
2003-01-07,-0.0030860068282763,-0.001359367612944501,-0.0027772723245099483,93252454.61179332,101552093.09028971,94737927.06284176,0.1,0.1
2003-01-08,-0.007141441552168,-0.0007708004303051013,-0.0060023288134051994,92586497.65758699,101473816.69323733,94169278.87351018,0.1,0.1
